content,score,sentiment_polarity,sentiment_subjective,sentiment_rating,review_without_stopwords,wordCount,wordCount_after_stopwords
good aplicatiom,5,0.7,0.6000000000000001,Positive,good aplicatiom,2,2
sesuai yg di harapkan,4,0.0,0.0,Positive,sesuai yg harapkan,4,3
mantap,5,0.0,0.0,Positive,mantap,1,1
"aplikasi maling, gw cuma pake strava beberapakali dan itu gak ada notif pembelian apapun dan gw gaperna membeli apapun diapl ini. tapi tiba-tiba saldo gw kepotong tanpa verifikasi apapun. maling",1,0.0,0.0,Negative,"aplikasi maling, gw pake strava beberapakali gak notif pembelian apapun gw gaperna membeli apapun diapl ini. saldo gw kepotong verifikasi apapun. maling",30,22
aplikasi yang sangat membantu saya,5,0.0,0.0,Positive,aplikasi membantu,5,2
aplikasi nya ok dan bagus bisa buat olahraga apa saja,5,0.5,0.5,Positive,aplikasi nya ok bagus olahraga,10,5
kenapa tak bahasa indonesia bos,1,0.0,0.0,Negative,bahasa indonesia bos,5,3
sangat membantu untuk selalu memonitor ketika olah raga,5,0.0,0.0,Positive,membantu memonitor olah raga,8,4
bagus,5,0.0,0.0,Positive,bagus,1,1
mantap,5,0.0,0.0,Positive,mantap,1,1
aplikasi flexing,5,0.0,0.0,Positive,aplikasi flexing,2,2
cuaks,5,0.0,0.0,Positive,cuaks,1,1
"kenapa mau d masukin imel ga bisa,,ya",1,0.0,0.0,Negative,"d masukin imel ga bisa,,ya",7,5
gak bisa login anj,1,0.0,0.0,Negative,gak login anj,4,3
"kenapa saya tidak bisa masuk strava, apakah ngebug atau gimana dan katanya severnya lagi rusak itu kenapa?",1,0.0,0.0,Negative,"masuk strava, ngebug gimana severnya rusak kenapa?",17,7
mantap 🔥🔥,5,0.0,0.0,Positive,mantap 🔥🔥,2,2
recomended,5,0.0,0.0,Positive,recomended,1,1
bagus banget,4,0.0,0.0,Positive,bagus banget,2,2
"aplikasi ini sangat berguna untuk pelari pemula, yg mengatur pace lari setiap kilometernya. semoga selalu sehat ya. terimakasih 🙏",4,0.0,0.0,Positive,"aplikasi berguna pelari pemula, yg mengatur pace lari kilometernya. semoga sehat ya. terimakasih 🙏",19,14
"aplikasi ini sangat bermanfaat, karena telah meningkatkan motivasi saya untuk berolahraga secara signifikan.",5,0.0,0.0,Positive,"aplikasi bermanfaat, meningkatkan motivasi berolahraga signifikan.",13,6
good,5,0.7,0.6000000000000001,Positive,good,1,1
lez gooo,5,0.0,0.0,Positive,lez gooo,2,2
jos,5,0.0,0.0,Positive,jos,1,1
ok,5,0.5,0.5,Positive,ok,1,1
puarah,1,0.0,0.0,Negative,puarah,1,1
bagus banget..,5,0.0,0.0,Positive,bagus banget..,2,2
aplikasi bagus bisa saling memberi semangat ke teman2 lainnua,5,0.0,0.0,Positive,aplikasi bagus semangat teman2 lainnua,9,5
bagus,5,0.0,0.0,Positive,bagus,1,1
oke,5,0.0,0.0,Positive,oke,1,1
sangat baik,5,0.0,0.0,Positive,,2,0
"sebenarnya bagus cuman akhir"" ini aplikasinya suka keluar"" sendiri terus waktu log in malah gabisa padahal pasword email benar",3,0.0,0.0,Neutral,"bagus cuman akhir"" aplikasinya suka keluar"" log in gabisa pasword email",19,11
membantu,5,0.0,0.0,Positive,membantu,1,1
akun sya tidak bisa d buka,4,0.0,0.0,Positive,akun sya d buka,6,4
👍🏻,5,0.0,0.0,Positive,👍🏻,1,1
kenapa strava saya jadi bahasa jepang ?,1,0.0,0.0,Negative,strava bahasa jepang ?,7,4
so helpfull,5,0.0,0.0,Positive,so helpfull,2,2
strava sangat membantu aktivitas olahragaku menjadi semakin semangat,5,0.0,0.0,Positive,strava membantu aktivitas olahragaku semangat,8,5
good,5,0.7,0.6000000000000001,Positive,good,1,1
good,5,0.7,0.6000000000000001,Positive,good,1,1
setelah update aplikasi rusak masak sprint 1 lapangan full cuma kebaca pace 8 ga masuk akal padahal biasanya 3-4,1,0.35,0.55,Negative,update aplikasi rusak masak sprint 1 lapangan full kebaca pace 8 ga masuk akal 3-4,19,15
cara pakai aplikasinya mudah dan mantap,5,0.0,0.0,Positive,pakai aplikasinya mudah mantap,6,4
ada anehnya strava ni.. kadang suka error sendiri,5,0.0,0.0,Positive,anehnya strava ni.. kadang suka error,8,6
good jobs,5,0.7,0.6000000000000001,Positive,good jobs,2,2
"singkat, padat, gacor",5,0.0,0.0,Positive,"singkat, padat, gacor",3,3
apakah ada pengembalian dana untum transaksi yang tidak dikehendaki?,2,0.0,0.0,Negative,pengembalian dana untum transaksi dikehendaki?,9,5
mohon dikembalikan lagi yang tidak terbeli dengan sengaja untuk aplikasi ini jika dikembalikan saya akan memberikan bintang 5 untuk aplikasi ini,1,0.0,0.0,Negative,mohon dikembalikan terbeli sengaja aplikasi dikembalikan bintang 5 aplikasi,21,9
"love this app, sayang sulit banget syncronize ke google fit",5,0.45,0.5,Positive,"love this app, sayang sulit banget syncronize google fit",10,9
kenapa saya tidak bisa log in ke akun saya? butuh bantuan cepat,2,0.0,0.0,Negative,log in akun saya? butuh bantuan cepat,12,7
i change the password but still cannot login!!!!!,1,0.0,0.0,Negative,i change the password but still cannot login!!!!!,8,8
ngabantu banget,5,0.0,0.0,Positive,ngabantu banget,2,2
i like,5,0.0,0.0,Positive,i like,2,2
kasih versi bahas indonesia donk min,5,0.0,0.0,Positive,kasih versi bahas indonesia donk min,6,6
keren,5,0.0,0.0,Positive,keren,1,1
sangat membantu,5,0.0,0.0,Positive,membantu,2,1
good,5,0.7,0.6000000000000001,Positive,good,1,1
good,5,0.7,0.6000000000000001,Positive,good,1,1
good,5,0.7,0.6000000000000001,Positive,good,1,1
it's very useful to see how far we go when we exercise i,5,0.245,0.5,Positive,it's very useful to see how far we go when we exercise i,13,13
"mantap, sangat membantu. aplikasi yang bagus",5,0.0,0.0,Positive,"mantap, membantu. aplikasi bagus",6,4
good,5,0.7,0.6000000000000001,Positive,good,1,1
nice,5,0.6,1.0,Positive,nice,1,1
"strava sekarang jelek, udah nge record tapi hitungan jam nya ga akurat,aplikasi butut",1,0.0,0.0,Negative,"strava jelek, udah nge record hitungan jam nya ga akurat,aplikasi butut",13,11
gps masih sering eror,1,0.0,0.0,Negative,gps eror,4,2
b aj,4,0.0,0.0,Positive,b aj,2,2
sangat bagus 👍,5,0.0,0.0,Positive,bagus 👍,3,2
aplikasi ini bagus buat penghitung jarak lari berguna banget untuk kesehatan kita,5,0.0,0.0,Positive,aplikasi bagus penghitung jarak lari berguna banget kesehatan,12,8
membantu sekali untuk aktivitas lari,5,0.0,0.0,Positive,membantu aktivitas lari,5,3
aplikasi bagus,5,0.0,0.0,Positive,aplikasi bagus,2,2
aplikasi bagus & sangat membantu,5,0.0,0.0,Positive,aplikasi bagus & membantu,5,4
bagus...,5,0.0,0.0,Positive,bagus...,1,1
tapi kenapa langkahnya ga sesuai,5,0.0,0.0,Positive,langkahnya ga sesuai,5,3
good apps,5,0.7,0.6000000000000001,Positive,good apps,2,2
ok,5,0.5,0.5,Positive,ok,1,1
bagus,5,0.0,0.0,Positive,bagus,1,1
mantap,5,0.0,0.0,Positive,mantap,1,1
keren strava,5,0.0,0.0,Positive,keren strava,2,2
mantap!!,5,0.0,0.0,Positive,mantap!!,1,1
"saya sudah membeli produk anda untuk jangka waktu 1 bulan dan uang saya terpotong dari bank, tapi saya tidak bisa menggunakan nya 👎",1,0.0,0.0,Negative,"membeli produk jangka 1 uang terpotong bank, nya 👎",23,9
rp hu jintao h u,3,0.0,0.0,Neutral,rp hu jintao h u,5,5
jangan di download nda jelas aplikasiny,1,0.0,0.0,Negative,download nda aplikasiny,6,3
"gpsnya kok bisa mati, padahal hemat daya mati",3,0.0,0.0,Neutral,"gpsnya mati, hemat daya mati",8,5
luar biasa alhamdulillah aplikasi yg sangat ber manfaat untuk olahraga,5,0.0,0.0,Positive,alhamdulillah aplikasi yg ber manfaat olahraga,10,6
bikin semangat olah raga,5,0.0,0.0,Positive,bikin semangat olah raga,4,4
👍,5,0.0,0.0,Positive,👍,1,1
mantapp ini,5,0.0,0.0,Positive,mantapp,2,1
"saya pakai strava cuma 2 kali, dan langsung hapus aku. tapi kenapa sana saya melakukan pembayaran otomatis ke strava? tolong lah strava, apa maksudnya ini? uang saya 600.000 ribu secara cuma cuma hanya ke strava yang ga saya pakai",1,0.0,0.0,Negative,"pakai strava 2 kali, langsung hapus aku. pembayaran otomatis strava? tolong strava, maksudnya ini? uang 600.000 ribu strava ga pakai",39,20
"gak sengaja nutup app ini, pas mau dibuka ulang ternyata bisa continue, terus aku tekan ok dan appnya jalan lagi. tapi pas lanjut perjalanan ternyata gak kehitung, tulisan finishnya malah di tempat aku nutup app ini. kecewa padahal itu route terjauhku.",1,0.5,0.5,Negative,"gak sengaja nutup app ini, pas dibuka ulang continue, tekan ok appnya jalan lagi. pas perjalanan gak kehitung, tulisan finishnya nutup app ini. kecewa route terjauhku.",41,26
👍👍👍,5,0.0,0.0,Positive,👍👍👍,1,1
very good,5,0.9099999999999999,0.7800000000000001,Positive,very good,2,2
sangat baik,5,0.0,0.0,Positive,,2,0
woy setelah di update aplikasinya error tidak bisa conect cyclocomp !!!,1,0.0,0.0,Negative,woy update aplikasinya error conect cyclocomp !!!,11,7
"gw pengguna baru, tapi gak bis login, apk kocak, email dan pasword uda pas, tp katanya salah, kocak",1,0.0,0.0,Negative,"gw pengguna baru, gak bis login, apk kocak, email pasword uda pas, tp salah, kocak",18,15
"jarak tidak sinkron, waktu tidak sesuai report",1,0.0,0.0,Negative,"jarak sinkron, sesuai report",7,4
asemik,5,0.0,0.0,Positive,asemik,1,1
kenapa hari ini mi health gak bisa connect sama strava,5,0.0,0.0,Positive,mi health gak connect strava,10,5
great,4,0.8,0.75,Positive,great,1,1
"bagus, terimakasoh",5,0.0,0.0,Positive,"bagus, terimakasoh",2,2
mantabs nih aplikasi,5,0.0,0.0,Positive,mantabs nih aplikasi,3,3
sering log out sendiri..hilang smua yg dikumpulin,2,0.0,0.0,Negative,log out sendiri..hilang smua yg dikumpulin,7,6
setelah update malah error,3,0.0,0.0,Neutral,update error,4,2
why my strava error please fix it,3,0.0,0.0,Neutral,why my strava error please fix it,7,7
"login susah, begitu sdh masuk eror2 terus, diminta untuk hubungi support..kesuen..bintang 1 ae, lagian kok kayake g menghitung klo pas jalan di mall (indoor), jalan 10rb langkah di aplikasi sebelah, kehitung e kurang dr itu",1,0.0,0.0,Negative,"login susah, sdh masuk eror2 terus, hubungi support..kesuen..bintang 1 ae, kayake g menghitung klo pas jalan mall (indoor), jalan 10rb langkah aplikasi sebelah, kehitung e dr",35,26
bagus,5,0.0,0.0,Positive,bagus,1,1
"segera di perbarui untuk peletakan tools, masak tombol di card lebih gede dibanding tombol save, mana tombol savenya nyempil di pojok atas. kondisi udh capek lari mau save malah kena discard",2,0.0,0.0,Negative,"perbarui peletakan tools, masak tombol card gede dibanding tombol save, tombol savenya nyempil pojok atas. kondisi udh capek lari save kena discard",31,22
aplikasi bagus dan akurat.,5,0.0,0.0,Positive,aplikasi bagus akurat.,4,3
very good,5,0.9099999999999999,0.7800000000000001,Positive,very good,2,2
keren,5,0.0,0.0,Positive,keren,1,1
"great apps,",5,0.8,0.75,Positive,"great apps,",2,2
mantap.....,5,0.0,0.0,Positive,mantap.....,1,1
"sepertinya map di aplikasi masih versi tahun lama berbeda dengan yang ada di google maps tahun sekarang, saya harap agar maps bisa di-update sesuai dengan google maps tahun sekarang.",4,0.0,0.0,Positive,"map aplikasi versi berbeda google maps sekarang, harap maps di-update sesuai google maps sekarang.",29,14
mendukung,1,0.0,0.0,Negative,mendukung,1,1
aplikasinya error tidak bisa dibuka & tidak bisa record km lagi,1,0.0,0.0,Negative,aplikasinya error dibuka & record km,11,6
nice,5,0.6,1.0,Positive,nice,1,1
the best,5,1.0,0.3,Positive,the best,2,2
membantu aktivitas olahraga,5,0.0,0.0,Positive,membantu aktivitas olahraga,3,3
"aplikasinya sangat bagus, sangat recommended banget buat pemula-pemula yang baru memulai dan mau konsisten, terus juga misalnya ga bisa bahasa inggris tinggal klik gambarnya aja, pokoknya mantap banget",5,0.0,0.0,Positive,"aplikasinya bagus, recommended banget pemula-pemula konsisten, ga bahasa inggris tinggal klik gambarnya aja, pokoknya mantap banget",28,16
"apalah gak bisa login masa, padahal mau buat akun malah network error mulu",1,0.0,0.0,Negative,"apalah gak login masa, akun network error mulu",13,8
mapbox tidak muncul,3,0.0,0.0,Neutral,mapbox muncul,3,2
sangat bermanfaat,4,0.0,0.0,Positive,bermanfaat,2,1
"kadang akurat kadang engga .. masa hari ini saya walk jarak 9,1 km tapi total steps hanya 636. ga masuk akal..",3,0.0,0.75,Neutral,"kadang akurat kadang engga .. walk jarak 9,1 km total steps 636. ga masuk akal..",21,15
mantap sih,4,0.0,0.0,Positive,mantap sih,2,2
sangat bermanfaat 👍👍👍💪,5,0.0,0.0,Positive,bermanfaat 👍👍👍💪,3,2
tambah mantap,5,0.0,0.0,Positive,mantap,2,1
sangat membantu.,5,0.0,0.0,Positive,membantu.,2,1
amazing app for workout especially running. please give us easy usage to synchronize data from amazfit verge lite into strava app,5,0.3444444444444445,0.9111111111111111,Positive,amazing app for workout especially running. please give us easy usage to synchronize data from amazfit verge lite into strava app,21,21
good,5,0.7,0.6000000000000001,Positive,good,1,1
top,5,0.5,0.5,Positive,top,1,1
sangat membantu,5,0.0,0.0,Positive,membantu,2,1
"strava tolong yaa kalo ada jalanan yg ada atepnya deteksinya map sama jaraknya jadi bug masa baru sekilo di app udah 2,3. tolong perbaiki dibagian map dan jarak😡😡😡",3,0.0,0.0,Neutral,"strava tolong yaa kalo jalanan yg atepnya deteksinya map jaraknya bug sekilo app udah 2,3. tolong perbaiki dibagian map jarak😡😡😡",28,20
semoga semakin akurat untuk pengukuran jarak tempuh dan waktunya,5,0.0,0.0,Positive,semoga akurat pengukuran jarak tempuh,9,5
berikan bahasa indonesia,3,0.0,0.0,Neutral,bahasa indonesia,3,2
ok,5,0.5,0.5,Positive,ok,1,1
okkk bgt,5,0.0,0.0,Positive,okkk bgt,2,2
bagus,4,0.0,0.0,Positive,bagus,1,1
pengihtungan gps gak akurat,2,0.0,0.0,Negative,pengihtungan gps gak akurat,4,4
app bagus tp berbayar😪,2,0.0,0.0,Negative,app bagus tp berbayar😪,4,4
lebih ditingkatkan,5,0.0,0.0,Positive,ditingkatkan,2,1
its the best,5,1.0,0.3,Positive,its the best,3,3
strava tidak menanggapi! jancokkk!,1,0.0,0.0,Negative,strava menanggapi! jancokkk!,4,3
,5,0.0,0.0,Positive,,0,0
mandaneror,5,0.0,0.0,Positive,mandaneror,1,1
👍,5,0.0,0.0,Positive,👍,1,1
saya lari sekitar 1jam. di aplikasi lain juga hitungannya sekitar 1jam. tp kenapa diaplikasi strava hanya terhitung 1menitan 😂,2,0.0,0.0,Negative,lari 1jam. aplikasi hitungannya 1jam. tp diaplikasi strava terhitung 1menitan 😂,19,11
like,5,0.0,0.0,Positive,like,1,1
mantappppp,5,0.0,0.0,Positive,mantappppp,1,1
best,5,1.0,0.3,Positive,best,1,1
tambahkan bahasa indonesia,4,0.0,0.0,Positive,tambahkan bahasa indonesia,3,3
ko gabisa daftar ya,1,0.0,0.0,Negative,ko gabisa daftar ya,4,4
jos,5,0.0,0.0,Positive,jos,1,1
kerennnnnnnnnn,5,0.0,0.0,Positive,kerennnnnnnnnn,1,1
okaay,5,0.0,0.0,Positive,okaay,1,1
mantap,5,0.0,0.0,Positive,mantap,1,1
top app. for all sport🤩👍,5,0.5,0.5,Positive,top app. for all sport🤩👍,5,5
aplikasi nya sangat bagus,5,0.0,0.0,Positive,aplikasi nya bagus,4,3
seru gilaaa,5,0.0,0.0,Positive,seru gilaaa,2,2
keren,5,0.0,0.0,Positive,keren,1,1
good,5,0.7,0.6000000000000001,Positive,good,1,1
kenapa error.. dan tak gunakan bahasa indonesia,1,0.0,0.0,Negative,error.. bahasa indonesia,7,3
"mantap! strava terus update hal hal baru dan berinovasi terus, ditunggu ya!",5,0.0,0.0,Positive,"mantap! strava update berinovasi terus, ditunggu ya!",12,7
good,5,0.7,0.6000000000000001,Positive,good,1,1
keren lah pokoknya,5,0.0,0.0,Positive,keren pokoknya,3,2
kadang2 error,4,0.0,0.0,Positive,kadang2 error,2,2
uhuy,5,0.0,0.0,Positive,uhuy,1,1
👍,5,0.0,0.0,Positive,👍,1,1
